Index,Conference,h5,h-median ,CCF,X,Y
75,[ASIACRYPT]Annual International Conference on the Theory and Application of Cryptology and Information Security,42,72,B,ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security
76,[SOSP]ACM Symposium on Operating Systems Principles,42,102,A,SOSP,ACM Symposium on Operating Systems Principles
77,[DIS]ACM Conference on Designing Interactive Systems,41,58,C,DIS,ACM Conference on Designing Interactive Systems
78,[ISCAS]International Symposium on Circuits and Systems,41,56,C,ISCAS,International Symposium on Circuits and Systems
79,[ICDAR]International Conference on Document Analysis and Recognition,40,70,C,ICDAR,International Conference on Document Analysis and Recognition
80,[IUI]ACM International Conference on Intelligent User Interfaces,40,64,B,IUI,ACM International Conference on Intelligent User Interfaces
81,[ISSTA]International Symposium on Software Testing and Analysis,40,84,A,ISSTA,International Symposium on Software Testing and Analysis
82,[ISWC]IEEE International Semantic Web Conference,39,59,B,ISWC,IEEE International Semantic Web Conference
83,"[SANER]International Conference on Software Analysis, Evolution, and Reengineering",39,63,B,SANER,"International Conference on Software Analysis, Evolution, and Reengineering"
84,[FPGA]ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,39,74,B,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays
85,"[MobiSys]International Conference on Mobile Systems, Applications, and Services",39,65,B,MobiSys,"International Conference on Mobile Systems, Applications, and Services"
86,[OSDI]USENIX Symposium on Operating Systems Design and Implementations,39,74,A,OSDI,USENIX Symposium on Operating Systems Design and Implementations
87,[CCS]ACM Conference on Computer and Communications Security,38,54,A,CCS,ACM Conference on Computer and Communications Security
88,[AsiaCCS]Asia Conference on Computer and Communications Security,38,54,C,AsiaCCS,Asia Conference on Computer and Communications Security
89,[IPDPS]International Parallel & Distributed Processing Symposium,38,52,B,IPDPS,International Parallel & Distributed Processing Symposium
90,[FAST]Conference on File and Storage Technologies,38,60,A,FAST,Conference on File and Storage Technologies
91,[CAV]Computer Aided Verification,38,56,A,CAV,Computer Aided Verification
92,[SOUPS]Symposium On Usable Privacy and Security,37,55,C,SOUPS,Symposium On Usable Privacy and Security
93,[SDM]SIAM International Conference on Data Mining,37,59,B,SDM,SIAM International Conference on Data Mining
94,[DSN]International Conference on Dependable Systems and Networks,37,51,B,DSN,International Conference on Dependable Systems and Networks
95,Advances in Social Networks Analysis and Mining,36,53,-,Advances in Social Networks Analysis and Mining,Advances in Social Networks Analysis and Mining
96,[SenSys]ACM Conference on Embedded Networked Sensor Systems,36,50,B,SenSys,ACM Conference on Embedded Networked Sensor Systems
97,[ASP-DAC]Asia and South Pacific Design Automation Conference,36,46,C,ASP-DAC,Asia and South Pacific Design Automation Conference
98,[ICSME]International Conference on Software Maintenance and Evolution,35,52,B,ICSME,International Conference on Software Maintenance and Evolution
99,"[TrustCom]IEEE International Conference on Trust, Security and Privacy in Computing and Communications",35,55,C,TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications"
100,[SoCC]ACM Symposium on Cloud Computing,35,54,B,SoCC,ACM Symposium on Cloud Computing
